#n     Energy             log10(Δρ)   Diag   Δtime
#---   ---------------    ---------   ----   ------
  1   -31.47057560495        -0.40   51.2    25.1s
  2   -31.48245671626        -1.00   45.8    11.8s
  3   -31.48384543596        -2.25   66.9    13.7s
  4   -31.48386330559        -3.08   72.8    13.4s
  5   -31.48386389383        -4.05   75.4    14.0s
  6   -31.48386390735        -4.57   61.9    12.2s
  7   -31.48386390780        -5.37   48.6    10.3s
  8   -31.48386390786        -5.88   57.8    11.2s
  9   -31.48386390783        -6.50   67.9    12.0s
